Sample Name:,At a glance:,,,,,,,,Status:,Notes:,Process ID:,Used By:,Deposition Parameters:,,,,,,,,,,,,,,Thickness Measurements:,,,,,,Resistance Measurements:,,,,,,,,,
,Substrate:,d (nm),Rs,Tc,Delta Tc,Rho,RRR,Rho*Tc,,,,,Deposition Date:,Run #:,Substrate:,SiNx or SiO2 Thickness (nm):,Chuck Slot:,Temperature (C):,Deposition Time (s),Current setpoint (mA) -or- Power setpoint (W),Nitrogen Flow (sccm),Argon Flow (sccm),Pressure (mTorr),Chuck Height (mm),Pre-deposition Spark Power (W),"Peak Power, Shutter Open (W)",Reflectance:,Transmittance:,Absorptance:,Synthesis Protocol:,Thickness (nm) (Visible Trans),Thickness (nm) (IR Trans),R_sheet Initial,R_sheet_Tc,T_C,Delta T_C,RRR,Synthesis Protocol:,rho (uOhm*cm):,rho*Tc (Ohm*nm*K):,deposition rate (nm/min):,Exclude (Y if yes else ''):
SPD267,MgO,,137,,,0,,0,,Tc vs Thickness,,DF,7/11/12,142,MgO,,,800,152,400,,,,47,,,,,,,,,136.5,,,,,,0,0,0,
SPD268,MgO,7.9,147,13.4,0.59,116,0.863,"15,550",,Tc vs Thickness,,DF,7/11/12,142,MgO,,,800,152,400,,,,47,,,0.2862,0.4313,0.2825,based on T,7.9,,146.9,,13.4,0.59,0.86,Manual,116.05,"15,550.42",3.12,
SPD269,MgO,,214,,,0,,0,,Tc vs Thickness,,DF,7/11/12,143,MgO,,,800,184,400,,,,47,,,,,,,,,214.2,,,,,,0,0,0,
SPD270,MgO,9.3,104,14.5,0.33,96,0.911,"13,971",,Tc vs Thickness,,DF,7/11/12,143,MgO,,,800,184,400,,,,47,,,0.3182,0.386,0.2958,based on T,9.3,,103.6,,14.5,0.33,0.91,Manual,96.35,"13,970.52",3.03,
SPD271,MgO,,103,,,0,,0,,Tc vs Thickness,,DF,7/11/12,143,MgO,,,800,184,400,,,,47,,,,,,,,,103.4,,,,,,0,0,0,
SPD272,MgO,,104,,,0,,0,,Tc vs Thickness,,DF,7/11/12,143,MgO,,,800,184,400,,,,47,,,,,,,,,104.4,,,,,,0,0,0,
SPD273,SiNx,8.1,346,,,281,,0,,Fab,,FN,7/11/12,144,SiNx,,,20,116,400,,,,47,,,0.2284,0.4262,0.3454,based on T,8.1,,346.5,,,,,,280.65,0,4.19,
SPD274,SiNx,8.1,348,,,282,,0,,Fab,,FN,7/11/12,144,SiNx,,,20,116,400,,,,47,,,0.2284,0.4262,0.3454,based on T,8.1,,347.7,,,,,,281.62,0,4.19,
SPD275,SiNx,8.1,349,,,282,,0,,Fab,,FN,7/11/12,144,SiNx,,,20,116,400,,,,47,,,0.2284,0.4262,0.3454,based on T,8.1,,348.5,,,,,,282.29,0,4.19,
SPD276,MgO,,369,,,0,,0,,Array Fab,,QZ,7/11/12,145,MgO,,,800,72,400,,,,47,,,,,,,,,368.6,,,,,,0,0,0,
SPD277,MgO,,372,,,0,,0,,Array Fab,,QZ,7/11/12,145,MgO,,,800,72,400,,,,47,,,,,,,,,371.7,,,,,,0,0,0,
SPD278,MgO,,408,,,0,,0,,Array Fab,,QZ,7/11/12,145,MgO,,,800,72,400,,,,47,,,,,,,,,407.9,,,,,,0,0,0,
SPD279,MgO,,424,,,0,,0,,Array Fab,,QZ,7/11/12,145,MgO,,,800,72,400,,,,47,,,,,,,,,423.6,,,,,,0,0,0,
SPD280,SiNx,,367,,,0,,0,,Fab,,FN,7/13/12,146,SiNx,,,20,116,400,,,,47,,,,,,,,,366.9,,,,,,0,0,0,
SPD281,SiNx,,367,,,0,,0,,Fab,,FN,7/13/12,146,SiNx,,,20,116,400,,,,47,,,,,,,,,366.8,,,,,,0,0,0,
SPD282,SiNx,,366,,,0,,0,,Fab,,FN,7/13/12,146,SiNx,,,20,116,400,,,,47,,,,,,,,,366,,,,,,0,0,0,
SPD283,MgO,,,,,0,,0,,Array Fab,,QZ,7/20/12,147,MgO,,,800,72,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD284,MgO,,,,,0,,0,,Array Fab,,QZ,7/20/12,147,MgO,,,800,72,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD285,MgO,,,,,0,,0,,Array Fab,,QZ,7/20/12,147,MgO,,,800,72,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD286,MgO,,,,,0,,0,,Array Fab,,QZ,7/20/12,147,MgO,,,800,72,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD287,Sapphire,,384,11.44,1.44,0,0.781,0,Need AFM / SEM,Annealing Experiment,,AD,7/23/12,148,Sapphire,,,800,88,400,,,,47,,,,,,,,,383.5,,11.44,1.44,0.78,Manual,0,0,0,
SPD288,MgO,,355,10.8,,0,0.683,0,Need AFM / SEM,Annealing Experiment,,AD,7/23/12,148,MgO,,,800,88,400,,,,47,,,,,,,,,354.7,,10.8,,0.68,Manual,0,0,0,
SPD289,Sapphire,,415,10.8,1.33,0,0.763,0,Need AFM / SEM,Annealing Experiment,,AD,7/23/12,148,Sapphire,,,800,88,400,,,,47,,,,,,,,,415.4,,10.8,1.33,0.76,Manual,0,0,0,
SPD290,MgO,,357,10.6,,0,0.68,0,Need AFM / SEM,Annealing Experiment,,AD,7/23/12,148,MgO,,,800,88,400,,,,47,,,,,,,,,356.7,,10.6,,0.68,Manual,0,0,0,
SPD291,MgO,,851,7.7,2.14,0,0.613,0,,Tc vs Thickness,,DF,7/23/12,149,MgO,,,800,52,400,,,,47,,,,,,,,,850.9,,7.7,2.14,0.61,Manual,0,0,0,
SPD292,MgO,2.4,854,,,205,,0,,Tc vs Thickness,,DF,7/23/12,149,MgO,,,800,52,400,,,,47,,,0.1705,0.6817,0.1479,based on T,2.4,,853.7,,,,,,204.88,0,2.77,
SPD293,MgO,,,,,0,,0,,Tc vs Thickness,,DF,7/23/12,149,MgO,,,800,52,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD294,MgO,,,,,0,,0,,Tc vs Thickness,,DF,7/23/12,149,MgO,,,800,52,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD295,SiNx,7.8,396,,,309,,0,,Fab,,FN,7/24/12,150,SiNx,,,20,116,400,,,,47,,,0.2236,0.4372,0.3392,based on T,7.8,,395.6,,,,,,308.57,0,4.03,
SPD296,SiNx,7.8,396,,,309,,0,,Fab,,FN,7/24/12,150,SiNx,,,20,116,400,,,,47,,,0.2236,0.4372,0.3392,based on T,7.8,,396.2,,,,,,309.04,0,4.03,
SPD297,SiNx,7.8,397,,,309,,0,,Fab,,FN,7/24/12,150,SiNx,,,20,116,400,,,,47,,,0.2236,0.4372,0.3392,based on T,7.8,,396.7,,,,,,309.41,0,4.03,
SPD298,MgO,,439,,,0,,0,,Array Fab,,QZ,7/24/12,151,MgO,,,800,76,400,,,,47,,,,,,,,,439.5,,,,,,0,0,0,
SPD299,MgO,,416,,,0,,0,,Array Fab,,QZ,7/24/12,151,MgO,,,800,76,400,,,,47,,,,,,,,,415.6,,,,,,0,0,0,
SPD300,MgO,,433,10.5,1.53,0,0.728,0,Tc taken; needs reflectometer,Tc Testing,,,7/24/12,151,MgO,,,800,76,400,,,,47,,,,,,,,,432.8,,10.5,1.53,0.73,Manual,0,0,0,
SPD301,MgO,,412,,,0,,0,,Array Fab,,QZ,7/24/12,151,MgO,,,800,76,400,,,,47,,,,,,,,,411.9,,,,,,0,0,0,
SPD302,SiNx,,,,,0,,0,,SiNx Without Biasing Substrate,,DF,7/25/12,152,SiNx,,,20,116,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD303,Glass,,433,9.05,,0,0.791,0,,Glass Without Biasing Substrate,,DF,7/25/12,152,Glass,,,20,116,400,,,,47,,,,,,,,,433.2,,9.05,,0.79,Manual,0,0,0,
SPD304,SiNx,,,,,0,,0,,SiNx Without Biasing Substrate,,DF,7/25/12,152,SiNx,,,20,116,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD305,Glass,7.9,,,,0,,0,,Glass Without Biasing Substrate,,DF,7/25/12,152,Glass,,,20,116,400,,,,47,,,0.3051,0.4314,0.2635,,7.9,,,,,,,,0,0,4.09,
SPD306,Glass,,,,,0,,0,,Glass Biasing Substrate,,DF,7/25/12,153,Glass,,,20,116,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD307,Glass,,375,9,1.16,0,0.814,0,,Glass Biasing Substrate,,DF,7/25/12,153,Glass,,,20,116,400,,,,47,,,,,,,,,374.7,,9,1.16,0.81,Manual,0,0,0,
SPD308,Glass,8.2,,,,0,,0,,Glass Biasing Substrate,,DF,7/25/12,153,Glass,,,20,116,400,,,,47,,,0.2999,0.4202,0.2799,,8.2,,,,,,,,0,0,4.24,
SPD309,Glass,,,,,0,,0,,Glass Biasing Substrate,,DF,7/25/12,153,Glass,,,20,116,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD310,SiNx,,,,,0,,0,,,,AM,7/27/12,154,SiNx,,,20,68,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD311,SiNx,,,,,0,,0,,,,AM,7/27/12,154,SiNx,,,20,68,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD312,SiNx,,,,,0,,0,,,,AM,7/27/12,154,SiNx,,,20,68,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD313,SiNx,,,,,0,,0,,,,AM,7/27/12,154,SiNx,,,20,68,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD314,SiNx,,386,8.4,1.15,0,0.807,0,,Tc Meas,,AR,7/30/12,155,SiNx,,,20,120,400,,,,47,,,,,,,,,386.4,,8.4,1.15,0.81,Manual,0,0,0,
SPD315,SiNx,,384,,,0,,0,,Fab,,FN,7/30/12,155,SiNx,,,20,120,400,,,,47,,,,,,,,,384.1,,,,,,0,0,0,
SPD316,SiNx,,385,,,0,,0,,Fab,,FN,7/30/12,155,SiNx,,,20,120,400,,,,47,,,,,,,,,384.5,,,,,,0,0,0,
SPD317,Glass,8.2,393,,,322,,0,,Fab,,FN,7/30/12,155,Glass,,,20,120,400,,,,47,,,0.3294,0.4195,0.2511,,8.2,,393.2,,,,,,322.45,0,4.1,
SPD318,SiNx,,356,,,0,,0,,Fab,,FN,7/30/12,156,SiNx,,,20,124,400,,,,47,,,,,,,,,356.1,,,,,,0,0,0,
SPD319,SiNx,,355,,,0,,0,,Fab,,FN,7/30/12,156,SiNx,,,20,124,400,,,,47,,,,,,,,,354.8,,,,,,0,0,0,
SPD320,SiNx,,356,8.4,1.06,0,0.81,0,,Tc Meas,,AR,7/30/12,156,SiNx,,,20,124,400,,,,47,,,,,,,,,355.8,,8.4,1.06,0.81,Manual,0,0,0,
SPD321,Glass,8.1,358,,,290,,0,,Fab,,FN,7/30/12,156,Glass,,,20,124,400,,,,47,,,0.1017,0.4228,0.4755,,8.1,,358.3,,,,,,290.19,0,3.92,
SPD322,SiNx,,151,11.06,0.53,0,,0,XRD with YI,Optimization of Growth Parameters on SiNx,,"DF, YI",8/2/12,157,SiNx,,,20,600,400,,,,47,,,,,,,,,150.6,,11.06,0.53,,Manual,0,0,0,
SPD323,SiNx,,155,11.11,0.52,0,,0,,Optimization of Growth Parameters on SiNx,,"DF, YI",8/2/12,157,SiNx,,,20,600,400,,,,47,,,,,,,,,155.2,,11.11,0.52,,Manual,0,0,0,
SPD324,SiNx,,157,11.07,0.53,0,,0,,Optimization of Growth Parameters on SiNx,,"DF, YI",8/2/12,157,SiNx,,,20,600,400,,,,47,,,,,,,,,157,,11.07,0.53,,Manual,0,0,0,
SPD325,Glass,,158,11.14,0.51,0,,0,,Optimization of Growth Parameters on SiNx,,"DF, YI",8/2/12,157,Glass,,,20,600,400,,,,47,,,0.5326,0.0958,0.3716,too thick for optical measurements,,,157.7,,11.14,0.51,,Manual,0,0,0,
SPD354,SiNx,,44,11.1,0.19,0,0.899,0,,Examining Bias,,YI,8/6/12,165,SiNx,,,20,700,400,,,,47,,,,,,,,,43.5,,11.1,0.19,0.9,Manual,0,0,0,
SPD355,SiNx,,45,,,0,,0,,Examining Bias,,YI,8/6/12,165,SiNx,,,20,700,400,,,,47,,,,,,,,,44.6,,,,,,0,0,0,
SPD356,SiNx,,44,,,0,,0,,Examining Bias,,YI,8/6/12,165,SiNx,,,20,700,400,,,,47,,,,,,,,,43.9,,,,,,0,0,0,
SPD357,Glass,,44,,,0,,0,,Examining Bias,,YI,8/6/12,165,Glass,,,20,700,400,,,,47,,,,,,,,,43.5,,,,,,0,0,0,
SPD358,SiNx,,29,11.9,0.21,0,0.919,0,,Optimization of Growth Parameters on SiNx,,YI,8/6/12,166,SiNx,,,20,500,,,,,47,,,,,,,,,29.3,,11.9,0.21,0.92,Manual,0,0,0,
SPD359,SiNx,,29,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/6/12,166,SiNx,,,20,500,,,,,47,,,,,,,,,29.3,,,,,,0,0,0,
SPD360,SiNx,,29,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/6/12,166,SiNx,,,20,500,,,,,47,,,,,,,,,29.3,,,,,,0,0,0,
SPD361,Glass,,29,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/6/12,166,Glass,,,20,500,,,,,47,,,,,,,,,29.3,,,,,,0,0,0,
SPD362,Sinx,,417,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,167,Sinx,,,20,124,,,,,47,,,,,,,,,417.5,,,,,,0,0,0,
SPD363,Sinx,8.4,356,,,299,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,167,Sinx,,,20,124,,,,,47,,,0.3316,0.4153,0.2532,,8.4,,356.1,,,,,,299.14,0,4.06,
SPD364,Sinx,,359,8.6,1.12,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,167,Sinx,,,20,124,,,,,47,,,,,,,,,359,,8.6,1.12,,,0,0,0,
SPD365,Glass,,358,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,167,Glass,,,20,124,,,,,47,,,,,,,,,358,,,,,,0,0,0,
SPD366,Sinx,,"1,056",5,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,168,Sinx,,,20,60,,,,,47,,,,,,,,,"1,056.20",,5,,,,0,0,0,
SPD367,Sinx,,"1,035",,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,168,Sinx,,,20,60,,,,,47,,,,,,,,,"1,034.90",,,,,,0,0,0,
SPD368,Sinx,,"1,053",,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,168,Sinx,,,20,60,,,,,47,,,,,,,,,"1,052.70",,,,,,0,0,0,
SPD369,Glass,3.7,"1,235",,,457,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,168,Glass,,,20,60,,,,,47,,,0.2075,0.6057,0.1868,,3.7,,"1,234.60",,,,,,456.82,0,3.7,
SPD370,Sinx,,624,7.1,,0,0.78,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,169,Sinx,,,20,88,,,,,47,,,,,,,,,624.5,,7.1,,0.78,Manual,0,0,0,
SPD371,Sinx,,632,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,169,Sinx,,,20,88,,,,,47,,,,,,,,,631.6,,,,,,0,0,0,
SPD372,Sinx,,170,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,169,Sinx,,,20,88,,,,,47,,,,,,,,,169.9,,,,,,0,0,0,
SPD373,Glass,5.7,171,,,98,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,169,Glass,,,20,88,,,,,47,,,0.1746,0.5111,0.3143,,5.7,,171.3,,,,,,97.63,0,3.89,
SPD374,Sinx,,169,9.9,,0,0.829,0,,Optimization of Growth Parameters on SiNx; KAS use for baking experiment.,,YI,8/8/12,170,Sinx,,,20,248,,,,,47,,,,,,,,,169.1,,9.9,,0.83,Manual,0,0,0,
SPD375,Sinx,,168,,,0,,0,,Optimization of Growth Parameters on SiNx; KAS use for baking experiment.,,YI,8/8/12,170,Sinx,,,20,248,,,,,47,,,,,,,,,168.1,,,,,,0,0,0,
SPD376,Sinx,,,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,170,Sinx,,,20,248,,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD377,Glass,16,,,,0,,0,,Optimization of Growth Parameters on SiNx,,YI,8/8/12,170,Glass,,,20,248,,,,,47,,,0.5712,0.2428,0.186,,16,,,,,,,,0,0,3.87,
SPD378,MgO,,635,6.5,,0,0.41,0,,Stress tests,,AR,8/9/12,171,MgO,,,800,88,,,,,47,,,,,,,,,634.7,,6.5,,0.41,Manual,0,0,0,
SPD379,MgO,,612,6.5,,0,1.083,0,,Stress tests,,AR,8/9/12,171,MgO,,,800,88,,,,,47,,,,,,,,,612,,6.5,,1.08,Manual,0,0,0,
SPD380,MgO,,613,6.9,,0,0.473,0,,Stress tests,,AR,8/9/12,171,MgO,,,800,88,,,,,47,,,,,,,,,613,,6.9,,0.47,Manual,0,0,0,
SPD381,MgO,,629,6.7,,0,0.456,0,,Stress tests,,AR,8/9/12,171,MgO,,,800,88,,,,,47,,,,,,,,,628.7,,6.7,,0.46,Manual,0,0,0,
SPD382,SiNx,,,,,0,,0,,SiNx with Au markers,,YI,8/9/12,172,SiNx,,,20,124,,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD383,Sinx,,,,,0,,0,,SiNx with Au markers,,YI,8/9/12,172,Sinx,,,20,124,,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD384,Glass,,412,,1.27,0,,0,,SiNx with Au markers,,YI,8/9/12,172,Glass,,,20,124,,,,,47,,,,,,,,,412,,,1.27,,,0,0,0,
SPD252,MgO,,393,8.6,,0,0.805,0,,Tc vs Thickness and Detectors,,QZ,7/3/12,138,MgO,,,800,72,400,,,,47,,,,,,,,,392.8,,8.6,,0.81,,0,0,0,
SPD385,Glass,7.9,426,,,336,,0,,SiNx with Au markers,,YI,8/9/12,172,Glass,,,20,124,,,,,47,,,0.274,0.4311,0.2949,,7.9,,425.6,,,,,,336.21,0,3.82,
SPD386,Al2O3,,233,12.9,0.84,0,,0,,"Examining MgO vs Sapphire, cleaned substrate (acid), bottom is colored ",,YI,8/14/12,173,Al2O3,,,800,140,,,,,47,,,,,,,,,233.3,,12.9,0.84,,,0,0,0,
SPD387,Al2O3,7.3,241,12.6,0.87,176,,"22,122",,"Examining MgO vs Sapphire, cleaned substrate (acid)",,YI,8/14/12,173,Al2O3,,,800,140,,,,,47,,,0.2411,0.4495,0.3094,,7.3,,240.5,,12.6,0.87,,,175.57,"22,122.11",3.13,
SPD388,MgO,,439,10.9,1.72,0,0.552,0,,"Examining MgO vs Sapphire cleaned with acetone et al, bottom is colored",,YI,8/14/12,173,MgO,,,800,140,,,,,47,,,,,,,,,438.9,,10.9,1.72,0.55,Manual,0,0,0,
SPD389,MgO,6.5,494,10.5,1.78,321,0.507,"33,730",,"Examining MgO vs Sapphire cleaned with acetone et al,",,YI,8/14/12,173,MgO,,,800,140,,,,,47,,,0.2203,0.4813,0.2984,,6.5,,494.2,,10.5,1.78,0.51,Manual,321.24,"33,729.83",2.79,
SPD390,MgO,,779,8.5,2.26,0,0.54,0,,,,DF,8/15/12,174,MgO,,,800,68,,,,,47,,,,,,,,,779.1,,8.5,2.26,0.54,,0,0,0,
SPD391,MgO,2.7,812,,,219,,0,,,,DF,8/15/12,174,MgO,,,800,68,,,,,47,,,0.1553,0.6673,0.1773,,2.7,,812.4,,,,,,219.34,0,2.38,
SPD392,MgO,,709,,,0,,0,,,,DF,8/15/12,174,MgO,,,800,68,,,,,47,,,,,,,,,708.9,,,,,,0,0,0,
SPD393,MgO,,685,,,0,,0,,,,DF,8/15/12,174,MgO,,,800,68,,,,,47,,,,,,,,,685.1,,,,,,0,0,0,
SPD394,Al2O3,,218,12.2,0.75,0,0.894,0,,"Examining MgO vs Sapphire, bottom is colored",,YI,8/16/12,175,Al2O3,,,800,140,,,,,47,,,,,,,,,217.7,,12.2,0.75,0.89,Manual,0,0,0,
SPD395,Al2O3,7.5,225,12.6,0.78,169,0.876,"21,244",Taken for XRD YI,Examining MgO vs Sapphire,,YI,8/16/12,175,Al2O3,,,800,140,,,,,47,,,0.2416,0.4458,0.3126,,7.5,,224.8,,12.6,0.78,0.88,Manual,168.6,"21,243.60",3.21,
SPD396,MgO,,201,12.7,0.81,0,0.749,0,,Examining MgO vs Sapphire,,YI,8/16/12,175,MgO,,,800,140,,,,,47,,,,,,,,,200.5,,12.7,0.81,0.75,Manual,0,0,0,
SPD397,MgO,6.3,207,12.7,0.85,130,0.747,"16,559",Taken for XRD YI,"Examining MgO vs Sapphire, bottom is colored",,YI,8/16/12,175,MgO,,,800,140,,,,,47,,,0.2211,0.4893,0.2896,,6.3,,207,,12.7,0.85,0.75,Manual,130.38,"16,558.87",2.7,
SPD398,SiNx,,356,8.9,1.05,0,0.834,0,,Removing water layer 160C preheating,,"YI,AR",8/17/12,176,SiNx,,,20,124,,,,,47,,,,,,,,,356.1,,8.9,1.05,0.83,Manual,0,0,0,
SPD399,SiNx,,365,8.8,1.04,0,0.816,0,,Removing water layer 160C preheating,,"YI,AR",8/17/12,176,SiNx,,,20,124,,,,,47,,,,,,,,,364.9,,8.8,1.04,0.82,Manual,0,0,0,
SPD400,SiNx,,367,8.53,0.98,0,0.822,0,,Removing water layer 160C preheating,,"YI,AR",8/17/12,176,SiNx,,,20,124,,,,,47,,,,,,,,,366.9,,8.53,0.98,0.82,Manual,0,0,0,
SPD401,Glass,7.7,349,,,269,,0,,Removing water layer 160C preheating,,"YI,AR",8/17/12,176,Glass,,,20,124,,,,,47,,,0.0966,0.4384,0.465,,7.7,,348.7,,,,,Manual,268.53,0,3.73,
SPD402,MgO,,480,,,0,,0,,Reproducing 10% device efficiency conditions,,"YI,AR",8/20/12,177,MgO,,,800,80,,,,,47,,,,,,,,,480.4,,,,,,0,0,0,
SPD403,MgO,,481,,,0,,0,,Reproducing 10% device efficiency conditions,,"YI,AR",8/20/12,177,MgO,,,800,80,,,,,47,,,,,,,,,481.4,,,,,,0,0,0,
SPD404,MgO,,,,,0,,0,,Reproducing 10% device efficiency conditions,,"YI,AR",8/20/12,177,MgO,,,800,80,,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD405,MgO,3.1,,10.55,1.66,0,0.669,0,,Reproducing 10% device efficiency conditions,,"YI,AR",8/20/12,177,MgO,,,800,80,,,,,47,,,0.1543,0.6391,0.2065,,3.1,,,,10.55,1.66,0.67,Manual,0,0,2.33,
SPD410,Al2O3,,564,,,0,,0,,"Comparing Al2O3 with MgO in the same batch. Cleaned with- H3PO4:H2SO4 3:1, and acetone+IPA+N2",,YI,8/24/12,180,Al2O3,,,800,100,,,,,47,,,,,,,,,564.2,,,,,,0,0,0,
SPD411,Al2O3,,567,7.8,1.73,0,0.518,0,,"""",,YI,8/24/12,180,Al2O3,,,800,100,,,,,47,,,,,,,,,567.4,,7.8,1.73,0.52,,0,0,0,
SPD412,MgO,,573,,,0,,0,,"""",,YI,8/24/12,180,MgO,,,800,100,,,,,47,,,,,,,,,573.3,,,,,,0,0,0,
SPD413,MgO,,583,6.5,1.66,0,0.374,0,,"""",,YI,8/24/12,180,MgO,,,800,100,,,,,47,,,,,,,,,582.8,,6.5,1.66,0.37,,0,0,0,
SPD414,Sinx,,444,,,0,,0,,SiN same conditions as saturating SPD222,,YI,8/27/12,181,Sinx,,,RT,120,,,,,47,,,,,,,,,443.8,,,,,,0,0,0,
SPD415,SInx,,,,,0,,0,,""" broken into two pieces",,YI,8/27/12,181,SInx,,,RT,120,,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD416,Sinx,,441,,,0,,0,,"""",,YI,8/27/12,181,Sinx,,,RT,120,,,,,47,,,,,,,,,440.9,,,,,,0,0,0,
SPD417,Glass,7.7,448,,,345,,0,,"""",,YI,8/27/12,181,Glass,,,RT,120,,,,,47,,,0.3205,0.4351,0.2443,,7.7,,447.9,,,,,,344.92,0,3.85,
SPD418,MgO,,"1,016",,,0,,0,,Ultra-thin MgO films for Zhao,,YI,8/27/12,182,MgO,,,800,60,,,,,47,,,,,,,,,"1,015.80",,,,,,0,0,0,
SPD419,MgO,,987,,,0,,0,,"""",,YI,8/27/12,182,MgO,,,800,60,,,,,47,,,,,,,,,987.2,,,,,,0,0,0,
SPD420,MgO,,"1,480",,,0,,0,,"""",,YI,8/27/12,182,MgO,,,800,60,,,,,47,,,,,,,,,"1,480.40",,,,,,0,0,0,
SPD421,MgO,,974,6.4,2.14,0,0.463,0,,"""",,YI,8/27/12,182,MgO,,,800,60,,,,,47,,,,,,,,,974.2,,6.4,2.14,0.46,,0,0,0,
SPD422,MgO,,734,,,0,,0,,Ultra-thin MgO films for Zhao,,YI,8/27/12,183,MgO,,,800,68,,,,,47,,,,,,,,,733.9,,,,,,0,0,0,
SPD423,MgO,,723,,,0,,0,,"""",,YI,8/27/12,183,MgO,,,800,68,,,,,47,,,,,,,,,723.1,,,,,,0,0,0,
SPD424,MgO,,713,,,0,,0,,"""",,YI,8/27/12,183,MgO,,,800,68,,,,,47,,,,,,,,,713,,,,,,0,0,0,
SPD425,MgO,,733,7.3,1.93,0,0.56,0,,"""",,YI,8/27/12,183,MgO,,,800,68,,,,,47,,,,,,,,,733.2,,7.3,1.93,0.56,,0,0,0,
SPD426,SiNx,,173,,,0,,0,,Examining growth on SiN @ 180C (overshoot 250C).,,YI,8/31/12,184,SiNx,,,RT,124,,,,,47,,,,,,,,,172.8,,,,,,0,0,0,
SPD427,SiNx,,172,,,0,,0,,"""",,YI,8/31/12,184,SiNx,,,RT,124,,,,,47,,,,,,,,,172.1,,,,,,0,0,0,
SPD428,SiNx,,177,10.4,,0,0.9,0,,"""",,YI,8/31/12,184,SiNx,,,RT,124,,,,,47,,,,,,,,,176.8,,10.4,,0.9,,0,0,0,
SPD429,Glass,~14,170,,,#VALUE!,,#VALUE!,,"""",,YI,8/31/12,184,Glass,,,RT,124,,,,,47,,,0.4597,0.282,0.2583,slightly too thick for optical determination,~14,,170.3,,,,,,#VALUE!,#VALUE!,#VALUE!,
SPD430,SiNx,,436,,,0,,0,,"Examining the influence of changing Ar:N2 ratio during first 16 sec (""nucleation"") and the rest of the growth (""growth""). Growth conditions are constant- 26.5:6 for the rest 108sec. Here, nucleation condition is: 26.5:12",,YI,8/31/12,185,SiNx,,,RT,124,,,,,47,,,,,,,,,436.2,,,,,,0,0,0,
SPD431,SiNx,,438,8.1,1.31,0,0.796,0,,"""-Nucleation and growth 26.5:12",,YI,8/31/12,185,SiNx,,,RT,124,,,,,47,,,,,,,,,437.8,,8.1,1.31,0.8,,0,0,0,
SPD432,Glass,,429,,,0,,0,,"""-Nucleation and growth 26.5:12",,YI,8/31/12,185,Glass,,,RT,124,,,,,47,,,,,,,,,429.1,,,,,,0,0,0,
SPD433,Glass,8,425,,,340,,0,,"""-Nucleation and growth 26.5:12",,YI,8/31/12,185,Glass,,,RT,124,,,,,47,,,0.2901,0.4284,0.2815,,8,,425.1,,,,,,340.08,0,3.87,
SPD434,SiNx,,411,,,0,,0,,"""-Nucleation and growth 26.5:8",,YI,8/31/12,186,SiNx,,,RT,124,,,,,47,,,,,,,,,411.3,,,,,,0,0,0,
SPD435,SiNx,,409,8.6,0.93,0,0.825,0,,"""-Nucleation and growth 26.5:8",,YI,8/31/12,186,SiNx,,,RT,124,,,,,47,,,,,,,,,409.2,,8.6,0.93,0.83,,0,0,0,
SPD436,Glass,,408,,,0,,0,,"""-Nucleation and growth 26.5:8",,YI,8/31/12,186,Glass,,,RT,124,,,,,47,,,,,,,,,408.1,,,,,,0,0,0,
